metric_key,category,source_file,source_api,permission,current_role,judgment,notes
CPU.Load,cpu,secm-core/sensor_service.rs,sysinfo crate (NtQuerySystemInformation 差分 = % Processor Time 语义),USER_SAFE,唯一来源,MERGE,对齐 LiteMonitor 链：PDH % Processor Utility 主路径（=LiteMonitor 主路径）+ 现实现作 % Processor Time 回退层
CPU.Clock,cpu,secm-datasource/cpu_freq.rs,CallNtPowerInformation + PDH % Processor Performance × ~MHz + registry,USER_SAFE,唯一来源(降级链),MERGE,PDH 层=LiteMonitor PerfCounter 等价；ntapi 为增强实时层；sysinfo 标称回退与 registry 层重复→移除 sysinfo 回退
CPU.Temp,cpu,sidecar-lhm/Program.cs,LHM CPU Temperature (Tctl/CPU Package),REQUIRES sidecar admin+ring0,唯一来源,KEEP,=LiteMonitor LHM CPU sensors；sidecar 语义已对齐
CPU.Power,cpu,sidecar-lhm/Program.cs,LHM CPU Power (Package),REQUIRES sidecar admin+ring0,唯一来源,KEEP,=LiteMonitor LHM CPU.Power
CPU.Voltage,cpu,sidecar-lhm/Program.cs,LHM CPU Voltage (首个),REQUIRES sidecar admin+ring0,唯一来源,KEEP,=LiteMonitor CPU.Voltage（LiteMonitor 排除 soc/gt/sa/aux 的规则未迁移→映射阶段对齐）
CPU.Fan,cpu,sidecar-lhm/Program.cs,LHM Motherboard/SuperIO Fan sensors,REQUIRES sidecar admin+ring0,部分来源(仅原始列表),MERGE,FanMapper 智能匹配策略(CPU.Fan/Pump/CASE.Fan)未迁移→按 LiteMonitor FanMapper 策略在快照层实现
MEM.Total,cpu,secm-core/sensor_service.rs,sysinfo refresh_memory (GlobalMemoryStatusEx 等价),USER_SAFE,唯一来源,KEEP,=LiteMonitor GlobalMemoryStatusEx 同源
MEM.Used,cpu,secm-core/sensor_service.rs,sysinfo refresh_memory (GlobalMemoryStatusEx 等价),USER_SAFE,唯一来源,KEEP,=LiteMonitor 计算路径 (Total-Available) 等价
MEM.Load,cpu,secm-core/sensor_service.rs,sysinfo used/total 计算,USER_SAFE,唯一来源,KEEP,=LiteMonitor used/(used+avail) 计算等价
MEM.SPD,cpu,sidecar-lhm/Program.cs,LHM Memory 节点名(SPD 缓存),REQUIRES sidecar admin,唯一来源(型号),KEEP,LiteMonitor 未消费 SPD 明细；sidecar 已输出 Memory.name
